"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-04-11,"陽明","PM2.5",9,14,23,23,14,16,20,17,17,16,-3,25,20,31,21,25,25,25,20,16,19,16,17,13,"Wednesday","April",18.29
2018-04-12,"陽明","PM2.5",33,39,26,15,21,23,22,22,22,17,1,6,11,12,9,10,11,19,17,13,10,10,7,12,"Thursday","April",16.17
2018-04-13,"陽明","PM2.5",3,7,9,10,5,13,12,13,12,11,9,10,32,25,24,32,30,14,10,14,12,12,6,7,"Friday","April",13.83
2018-04-14,"陽明","PM2.5",15,13,14,16,15,16,17,15,13,13,12,21,16,13,12,12,1,12,4,9,10,6,9,9,"Saturday","April",12.21
2018-04-15,"陽明","PM2.5",-4,-4,-5,-4,1,1,1,1,2,1,1,1,1,1,1,3,12,7,6,6,20,21,29,31,"Sunday","April",5.42
2018-04-16,"陽明","PM2.5",12,13,12,12,12,12,12,13,15,14,16,13,11,10,10,11,11,12,13,13,13,12,11,4,"Monday","April",11.96
2018-04-17,"陽明","PM2.5",3,2,2,2,3,2,4,4,3,4,5,9,5,11,11,10,11,15,16,15,13,10,4,3,"Tuesday","April",6.96
2018-04-18,"陽明","PM2.5",21,13,12,12,12,10,12,15,16,17,-3,14,14,12,14,13,13,13,15,17,15,12,9,12,"Wednesday","April",12.92
2018-04-19,"陽明","PM2.5",10,11,10,10,11,15,14,14,16,19,16,17,17,17,17,19,21,16,14,11,12,13,10,7,"Thursday","April",14.04
2018-04-20,"陽明","PM2.5",7,6,7,7,6,9,13,15,16,16,16,17,16,16,20,16,16,15,12,11,13,19,20,14,"Friday","April",13.46
2018-04-21,"陽明","PM2.5",12,10,13,15,13,16,17,23,24,25,31,38,28,30,24,29,23,15,13,22,20,15,14,16,"Saturday","April",20.25
2018-04-22,"陽明","PM2.5",15,17,33,42,33,43,38,23,19,31,28,22,24,17,21,15,19,9,9,16,17,21,14,6,"Sunday","April",22.17
2018-04-23,"陽明","PM2.5",12,9,5,6,10,16,17,11,21,24,15,-3,1,12,16,12,12,12,7,9,3,14,17,20,"Monday","April",11.58
2018-04-24,"陽明","PM2.5",13,14,16,17,21,20,20,16,16,5,1,-8,-4,2,1,1,7,-5,1,3,1,2,1,1,"Tuesday","April",6.75
2018-04-25,"陽明","PM2.5",1,2,5,3,3,4,6,14,17,16,17,13,14,20,21,21,20,23,25,13,11,-9,13,14,"Wednesday","April",11.96
2018-04-26,"陽明","PM2.5",30,23,28,31,33,34,32,31,26,25,26,24,20,14,12,16,13,13,1,10,9,7,10,5,"Thursday","April",19.71
2018-04-27,"陽明","PM2.5",10,14,5,12,22,11,13,15,22,10,32,23,20,16,1,1,4,5,4,4,2,3,17,25,"Friday","April",12.12
2018-04-28,"陽明","PM2.5",20,17,16,7,10,13,15,25,21,16,22,25,22,26,28,29,23,26,20,22,22,19,15,14,"Saturday","April",19.71
2018-04-29,"陽明","PM2.5",9,10,25,24,38,49,44,41,44,39,40,45,35,22,20,17,2,25,26,32,38,17,6,7,"Sunday","April",27.29
2018-04-30,"陽明","PM2.5",3,7,6,6,5,10,15,15,16,23,22,32,30,24,21,17,19,21,20,26,30,31,26,5,"Monday","April",17.92
2018-05-01,"陽明","PM2.5",4,9,25,22,25,25,22,21,17,24,26,24,28,33,26,22,29,25,17,22,24,25,20,20,"Tuesday","May",22.29
2018-05-02,"陽明","PM2.5",5,14,22,17,16,17,20,20,23,19,23,20,13,19,13,12,11,12,19,20,10,21,16,9,"Wednesday","May",16.29
2018-05-03,"陽明","PM2.5",4,21,20,25,13,6,7,12,9,13,19,13,-3,10,7,7,5,3,11,15,19,28,13,9,"Thursday","May",11.92
2018-05-04,"陽明","PM2.5",6,6,7,6,6,9,6,9,12,11,10,11,10,6,9,9,6,9,6,10,9,7,4,5,"Friday","May",7.88
2018-05-05,"陽明","PM2.5",7,4,20,23,15,23,12,20,19,16,15,21,31,25,30,23,25,25,15,13,10,12,7,5,"Saturday","May",17.33
2018-05-06,"陽明","PM2.5",6,4,10,11,15,20,20,20,20,17,24,34,17,17,23,22,11,9,7,5,10,6,11,13,"Sunday","May",14.67
2018-05-07,"陽明","PM2.5",11,11,5,10,14,12,11,12,16,23,24,16,24,17,20,12,10,7,6,10,12,14,10,6,"Monday","May",13.04
2018-05-09,"陽明","PM2.5",5,4,3,2,6,5,9,4,7,5,9,9,3,1,5,7,11,10,10,9,11,7,5,6,"Wednesday","May",6.38
2018-05-10,"陽明","PM2.5",5,7,6,5,7,9,10,12,15,14,12,13,6,12,11,11,10,7,11,11,10,10,11,10,"Thursday","May",9.79
2018-05-11,"陽明","PM2.5",12,9,11,12,11,6,11,6,13,15,19,17,15,13,15,16,17,11,11,9,16,9,10,20,"Friday","May",12.67
2018-05-12,"陽明","PM2.5",10,11,15,17,1,2,12,15,19,21,12,15,3,11,1,20,20,22,21,32,33,32,28,24,"Saturday","May",16.54
2018-05-13,"陽明","PM2.5",32,31,29,17,33,25,28,30,26,33,32,26,22,16,10,21,19,9,29,25,28,25,23,25,"Sunday","May",24.75
2018-05-14,"陽明","PM2.5",23,24,24,24,17,31,24,21,19,24,33,30,29,35,24,26,25,22,17,22,34,28,29,28,"Monday","May",25.54
2018-05-15,"陽明","PM2.5",28,29,16,14,20,17,21,25,23,25,35,37,38,40,14,15,16,13,9,5,13,4,13,23,"Tuesday","May",20.54
2018-05-16,"陽明","PM2.5",28,24,12,9,7,9,12,16,26,25,-3,28,30,29,19,21,10,17,11,15,7,14,15,19,"Wednesday","May",16.67
2018-05-17,"陽明","PM2.5",16,17,15,17,19,20,28,15,16,10,15,19,25,24,19,21,19,11,23,16,20,22,21,20,"Thursday","May",18.67
2018-05-18,"陽明","PM2.5",13,19,-37,1,10,10,15,21,40,23,16,11,24,25,14,14,14,14,10,24,15,23,26,26,"Friday","May",15.46
2018-05-19,"陽明","PM2.5",3,13,20,12,13,22,34,26,33,29,29,22,14,25,26,10,14,17,23,28,19,12,13,20,"Saturday","May",19.88
2018-05-20,"陽明","PM2.5",14,15,12,14,25,23,35,14,20,19,23,21,10,11,12,12,6,17,1,7,12,11,1,26,"Sunday","May",15.04
2018-05-21,"陽明","PM2.5",-6,-8,1,1,4,5,19,20,16,16,16,-3,16,13,11,11,10,10,10,10,9,10,11,10,"Monday","May",8.83
2018-05-22,"陽明","PM2.5",11,7,11,16,15,16,19,17,24,26,32,24,21,16,12,12,12,12,13,12,16,12,12,10,"Tuesday","May",15.75
2018-05-23,"陽明","PM2.5",9,13,10,10,11,12,14,13,20,26,22,14,6,2,2,1,1,2,1,3,4,4,4,4,"Wednesday","May",8.67
2018-05-24,"陽明","PM2.5",6,6,7,10,10,12,19,14,13,19,21,20,13,16,16,15,14,15,15,17,24,22,17,13,"Thursday","May",14.75
2018-05-25,"陽明","PM2.5",13,12,15,16,15,14,16,19,29,32,32,30,28,30,32,28,26,16,14,15,16,17,17,22,"Friday","May",21
2018-05-26,"陽明","PM2.5",25,19,7,9,10,6,9,10,12,14,19,15,17,15,10,13,12,11,10,5,12,12,10,10,"Saturday","May",12.17
2018-05-27,"陽明","PM2.5",9,22,21,17,13,16,12,10,9,12,15,-3,1,1,1,1,1,1,1,1,1,1,1,1,"Sunday","May",6.88
2018-05-28,"陽明","PM2.5",1,1,1,1,1,1,1,1,1,1,-3,-3,1,14,12,15,13,15,25,25,25,25,25,23,"Monday","May",9.25
2018-05-29,"陽明","PM2.5",19,14,15,19,19,21,25,23,23,24,26,34,32,21,13,10,14,23,25,22,20,15,16,15,"Tuesday","May",20.33
2018-05-30,"陽明","PM2.5",17,24,22,19,19,15,16,14,22,23,24,28,25,17,23,20,22,23,14,17,14,22,20,20,"Wednesday","May",20
2018-05-31,"陽明","PM2.5",19,19,20,16,17,10,14,13,17,19,21,21,15,10,11,7,13,11,6,6,5,3,3,3,"Thursday","May",12.46
2018-06-01,"陽明","PM2.5",2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Friday","June",1.17
2018-06-02,"陽明","PM2.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,3,2,2,2,2,"Saturday","June",1.5
