"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-04-08,"松山","PM2.5",22,18,20,15,18,18,21,23,20,24,18,21,17,11,10,7,16,14,16,13,19,20,17,12,"Sunday","April",17.08
2018-04-09,"松山","PM2.5",17,17,12,6,14,17,16,17,16,19,19,25,26,14,10,6,13,9,15,13,12,12,14,21,"Monday","April",15
2018-04-10,"松山","PM2.5",17,16,10,11,16,12,17,13,20,27,23,23,21,29,34,32,32,32,29,26,30,26,25,17,"Tuesday","April",22.42
2018-04-11,"松山","PM2.5",17,17,15,16,11,15,9,17,17,35,42,45,42,43,37,32,28,28,32,32,26,17,19,19,"Wednesday","April",25.46
2018-04-12,"松山","PM2.5",30,26,29,29,25,21,20,26,26,30,26,27,27,22,29,20,22,18,22,25,16,17,17,17,"Thursday","April",23.62
2018-04-13,"松山","PM2.5",14,16,16,15,12,15,14,14,21,25,28,29,26,23,20,26,27,25,23,29,27,29,19,17,"Friday","April",21.25
2018-04-14,"松山","PM2.5",12,13,12,12,11,12,10,14,15,19,23,29,21,23,23,30,25,25,25,29,17,13,10,18,"Saturday","April",18.38
2018-04-15,"松山","PM2.5",20,13,6,5,6,4,9,7,9,6,7,7,7,13,15,16,19,24,24,27,29,32,27,38,"Sunday","April",15.42
2018-04-16,"松山","PM2.5",39,35,22,14,17,16,14,14,13,12,8,10,15,16,15,9,11,7,10,9,14,16,18,17,"Monday","April",15.46
2018-04-17,"松山","PM2.5",16,13,8,9,8,8,6,4,10,15,17,17,17,20,15,17,11,17,16,22,21,29,22,22,"Tuesday","April",15
2018-04-18,"松山","PM2.5",9,13,16,10,14,15,24,21,19,18,14,13,10,16,11,8,6,9,15,17,17,13,13,16,"Wednesday","April",14.04
2018-04-19,"松山","PM2.5",19,16,14,8,11,8,12,14,20,13,17,16,22,718,11,8,5,13,12,19,11,17,6,10,"Thursday","April",42.5
2018-04-20,"松山","PM2.5",6,10,15,13,14,13,14,21,22,24,19,21,19,17,17,19,21,16,17,22,22,19,13,19,"Friday","April",17.21
2018-04-21,"松山","PM2.5",17,17,13,8,7,8,17,16,15,21,23,29,19,24,24,32,25,17,16,21,18,17,15,13,"Saturday","April",18
2018-04-22,"松山","PM2.5",14,12,21,17,18,10,13,16,24,34,34,37,43,35,39,35,27,21,16,22,18,17,14,14,"Sunday","April",22.96
2018-04-23,"松山","PM2.5",12,11,9,12,7,1,6,10,15,10,16,27,26,21,17,16,17,14,14,16,18,20,13,6,"Monday","April",13.92
2018-04-24,"松山","PM2.5",3,8,8,8,8,8,8,8,8,8,733,24,11,9,1,4,1,10,9,15,10,16,12,17,"Tuesday","April",39.46
2018-04-25,"松山","PM2.5",14,18,15,10,17,22,24,15,11,16,15,12,22,19,23,23,23,22,20,25,31,25,24,22,"Wednesday","April",19.5
2018-04-26,"松山","PM2.5",30,27,22,22,20,23,24,25,30,23,19,12,15,18,12,13,11,20,14,15,12,10,15,19,"Thursday","April",18.79
2018-04-27,"松山","PM2.5",24,18,18,18,20,10,17,16,23,20,27,32,27,21,17,18,20,26,24,19,14,15,19,25,"Friday","April",20.33
2018-04-28,"松山","PM2.5",24,24,16,17,21,23,27,25,28,26,24,22,23,21,23,22,19,17,20,18,17,16,20,18,"Saturday","April",21.29
2018-04-29,"松山","PM2.5",18,19,19,13,13,11,20,18,22,22,34,43,49,48,50,41,35,40,48,52,51,45,48,41,"Sunday","April",33.33
2018-04-30,"松山","PM2.5",40,24,18,14,17,17,15,17,17,25,28,34,35,40,46,44,40,32,36,22,102,96,109,39,"Monday","April",37.79
2018-05-01,"松山","PM2.5",30,47,34,48,18,14,4,22,20,28,34,45,48,35,39,40,44,41,39,38,43,40,42,24,"Tuesday","May",34.04
2018-05-02,"松山","PM2.5",25,20,28,23,22,17,22,26,29,32,28,28,28,31,34,33,24,27,21,24,13,17,17,19,"Wednesday","May",24.5
2018-05-03,"松山","PM2.5",20,28,39,33,36,31,33,32,32,33,28,25,22,20,24,23,22,18,24,23,20,12,14,15,"Thursday","May",25.29
2018-05-04,"松山","PM2.5",15,9,5,5,7,16,12,16,12,20,16,16,10,12,9,13,9,10,3,7,10,11,8,8,"Friday","May",10.79
2018-05-05,"松山","PM2.5",5,10,3,10,7,10,7,9,11,18,17,19,12,14,11,17,11,11,4,9,6,10,9,15,"Saturday","May",10.62
2018-05-06,"松山","PM2.5",16,16,13,9,14,15,16,13,17,17,20,17,18,25,32,36,27,20,20,26,32,34,28,22,"Sunday","May",20.96
2018-05-07,"松山","PM2.5",14,14,16,17,13,9,12,16,16,13,21,24,29,25,23,18,15,14,14,18,22,17,17,17,"Monday","May",17.25
2018-05-08,"松山","PM2.5",20,17,12,8,5,5,3,5,7,13,16,12,6,2,2,9,9,14,14,12,11,9,11,7,"Tuesday","May",9.54
2018-05-09,"松山","PM2.5",14,11,14,8,6,7,11,16,16,15,12,12,6,7,5,4,7,5,14,11,12,7,16,22,"Wednesday","May",10.75
2018-05-10,"松山","PM2.5",23,15,16,13,17,8,11,5,14,16,20,16,11,12,10,15,9,11,4,13,15,14,8,8,"Thursday","May",12.67
2018-05-11,"松山","PM2.5",8,12,9,16,13,14,16,13,15,13,11,9,9,9,17,11,16,18,25,19,16,15,19,15,"Friday","May",14.08
2018-05-12,"松山","PM2.5",13,10,10,11,17,15,14,13,16,24,31,41,35,29,24,27,31,34,32,30,24,25,24,28,"Saturday","May",23.25
2018-05-13,"松山","PM2.5",24,18,8,12,13,21,17,24,30,39,41,44,43,42,44,33,36,30,27,23,15,26,18,24,"Sunday","May",27.17
2018-05-14,"松山","PM2.5",16,18,17,16,19,18,20,25,24,26,30,38,44,35,35,27,31,27,31,29,27,32,33,33,"Monday","May",27.12
2018-05-15,"松山","PM2.5",29,27,25,28,24,24,21,28,31,34,38,40,46,38,36,29,32,38,32,31,28,36,38,33,"Tuesday","May",31.92
2018-05-16,"松山","PM2.5",32,29,27,28,21,18,17,26,33,30,32,724,36,42,30,26,24,23,24,22,20,13,9,15,"Wednesday","May",54.21
2018-05-18,"松山","PM2.5",10,12,15,14,15,9,16,16,22,21,34,32,38,33,29,20,18,24,27,23,18,16,15,15,"Friday","May",20.5
2018-05-19,"松山","PM2.5",21,14,16,11,13,19,25,29,31,29,31,30,27,26,25,26,31,22,26,21,21,17,18,25,"Saturday","May",23.08
2018-05-20,"松山","PM2.5",25,24,24,17,23,14,17,14,24,36,38,39,36,30,29,21,27,17,23,17,17,20,19,27,"Sunday","May",24.08
2018-05-21,"松山","PM2.5",13,16,7,7,9,12,16,16,10,13,9,17,18,15,13,16,19,22,20,22,16,14,8,20,"Monday","May",14.5
2018-05-22,"松山","PM2.5",49,49,42,13,14,17,29,33,30,22,31,37,51,39,38,21,19,18,19,22,16,18,18,19,"Tuesday","May",27.67
2018-05-23,"松山","PM2.5",16,16,23,25,23,28,23,30,23,32,24,27,20,26,17,18,17,22,24,28,23,25,17,17,"Wednesday","May",22.67
2018-05-24,"松山","PM2.5",9,11,9,11,11,12,6,10,18,31,26,16,15,17,19,19,20,18,13,14,17,16,11,15,"Thursday","May",15.17
