"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-04-01,"萬華","PM2.5",27,27,26,24,26,18,27,27,34,24,17,10,15,14,21,26,32,32,28,29,25,28,28,23,"Sunday","April",24.5
2018-04-02,"萬華","PM2.5",20,17,22,17,19,14,15,9,15,23,33,37,38,38,44,45,47,46,50,41,36,24,22,17,"Monday","April",28.71
2018-04-04,"萬華","PM2.5",17,8,7,6,9,9,14,18,14,16,17,21,27,26,30,28,39,41,36,27,24,28,29,23,"Wednesday","April",21.42
2018-04-05,"萬華","PM2.5",17,13,9,14,16,15,15,7,12,14,24,33,37,37,35,28,26,20,20,25,26,26,21,26,"Thursday","April",21.5
2018-04-06,"萬華","PM2.5",25,18,14,20,23,20,20,20,21,27,752,23,19,1,1,1,3,5,4,22,27,37,29,35,"Friday","April",48.62
2018-04-07,"萬華","PM2.5",39,37,35,22,29,26,40,32,34,25,38,45,46,37,21,25,22,26,22,21,23,24,20,23,"Saturday","April",29.67
2018-04-08,"萬華","PM2.5",21,21,17,15,21,22,22,18,13,14,16,18,16,14,14,14,12,11,9,11,11,18,18,20,"Sunday","April",16.08
2018-04-09,"萬華","PM2.5",15,14,7,7,4,9,9,12,15,14,19,21,22,13,10,11,11,9,11,13,17,11,14,16,"Monday","April",12.67
2018-04-11,"萬華","PM2.5",14,13,18,17,11,8,6,16,28,43,39,44,38,49,35,35,27,29,25,22,23,22,25,22,"Wednesday","April",25.38
2018-04-12,"萬華","PM2.5",29,35,35,27,19,23,21,23,15,21,20,26,14,14,13,29,30,36,24,22,15,22,17,13,"Thursday","April",22.62
2018-04-13,"萬華","PM2.5",4,8,7,8,7,11,17,12,11,7,18,20,27,26,37,38,40,36,36,33,27,25,21,17,"Friday","April",20.54
2018-04-14,"萬華","PM2.5",13,14,12,11,10,20,16,10,4,6,20,20,27,22,31,23,21,10,21,14,25,18,22,14,"Saturday","April",16.83
2018-04-15,"萬華","PM2.5",8,11,10,9,6,2,1,3,9,13,9,4,2,5,13,23,24,33,29,35,36,44,40,40,"Sunday","April",17.04
2018-04-16,"萬華","PM2.5",39,39,19,13,12,17,14,14,12,9,15,20,18,12,3,10,7,13,12,13,10,13,14,11,"Monday","April",14.96
2018-04-17,"萬華","PM2.5",10,11,20,13,10,2,8,3,5,6,767,6,14,12,19,14,17,16,14,12,15,18,18,14,"Tuesday","April",43.5
2018-04-18,"萬華","PM2.5",16,19,19,22,18,17,9,12,15,22,15,13,8,13,14,12,9,12,17,21,15,14,8,10,"Wednesday","April",14.58
2018-04-19,"萬華","PM2.5",12,13,8,7,8,16,16,18,18,17,14,16,21,21,22,24,22,23,17,20,15,18,16,17,"Thursday","April",16.62
2018-04-20,"萬華","PM2.5",8,8,5,12,9,12,15,22,18,13,16,16,17,10,16,13,14,19,27,27,25,22,17,12,"Friday","April",15.54
2018-04-21,"萬華","PM2.5",8,12,14,17,22,17,24,14,22,26,39,39,38,44,50,59,58,57,53,46,38,27,23,21,"Saturday","April",32
2018-04-22,"萬華","PM2.5",14,14,21,28,34,25,16,11,21,28,30,37,43,41,31,28,30,28,25,19,19,9,17,15,"Sunday","April",24.33
2018-04-23,"萬華","PM2.5",15,9,10,17,11,13,9,18,12,14,16,20,21,21,24,30,27,22,24,24,25,16,13,13,"Monday","April",17.67
2018-04-24,"萬華","PM2.5",11,9,10,7,9,5,14,10,18,12,18,15,16,9,3,2,5,3,4,2,5,8,10,14,"Tuesday","April",9.12
2018-04-25,"萬華","PM2.5",6,11,17,16,22,12,15,7,14,14,23,21,24,19,23,31,27,33,30,41,31,30,22,23,"Wednesday","April",21.33
2018-04-26,"萬華","PM2.5",23,25,27,33,28,26,17,22,26,27,27,22,24,20,17,20,18,16,9,13,17,20,23,15,"Thursday","April",21.46
2018-04-27,"萬華","PM2.5",11,9,19,24,20,18,20,18,22,23,33,30,31,28,25,22,20,20,14,14,13,17,16,20,"Friday","April",20.29
2018-04-28,"萬華","PM2.5",23,23,22,24,25,21,18,17,22,19,21,19,20,19,23,20,21,13,10,14,20,29,24,25,"Saturday","April",20.5
2018-04-29,"萬華","PM2.5",19,11,13,18,23,19,10,15,14,29,37,46,57,51,52,38,42,44,48,48,49,50,47,35,"Sunday","April",33.96
2018-04-30,"萬華","PM2.5",19,15,10,15,9,9,5,6,8,14,766,9,19,27,41,36,31,29,27,26,29,37,35,27,"Monday","April",52.04
2018-05-01,"萬華","PM2.5",25,24,19,13,11,12,13,8,16,28,44,41,32,34,35,30,26,25,29,33,39,41,40,32,"Tuesday","May",27.08
2018-05-02,"萬華","PM2.5",30,19,24,23,18,16,18,32,31,28,22,25,23,23,21,19,14,13,14,17,17,20,19,14,"Wednesday","May",20.83
